COOPID, YEAR, MONTH, DAY, meanTemp
84358,2019,4,11,71.50000
84358,2019,4,12,75.50000
84358,2019,4,13,78.50000
84358,2019,4,14,79.00000
84358,2019,4,15,64.00000
84358,2019,4,16,61.00000
84358,2019,4,17,67.50000
84358,2019,4,18,73.50000
84358,2019,4,19,72.00000
84358,2019,4,20,60.50000
84358,2019,4,21,61.50000
84358,2019,4,22,64.00000
84358,2019,4,23,68.00000
84358,2019,4,24,73.50000
84358,2019,4,25,72.00000
84358,2019,4,26,73.00000
84358,2019,4,27,65.50000
84358,2019,4,28,69.50000
84358,2019,4,29,71.50000
84358,2019,4,30,74.00000
84358,2019,5,1,74.00000
84358,2019,5,2,75.50000
84358,2019,5,3,77.00000
84358,2019,5,4,80.00000
84358,2019,5,5,73.00000
84358,2019,5,6,78.50000
84358,2019,5,7,75.50000
84358,2019,5,8,75.00000
84358,2019,5,9,75.00000
84358,2019,5,10,78.50000
84358,2019,5,11,77.50000
84358,2019,5,12,79.00000
84358,2019,5,13,77.00000
84358,2019,5,14,72.50000
84358,2019,5,15,70.00000
84358,2019,5,16,73.50000
84358,2019,5,17,77.50000
84358,2019,5,18,77.00000
84358,2019,5,19,74.00000
84358,2019,5,20,80.00000
84358,2019,5,21,81.50000
84358,2019,5,22,82.50000
84358,2019,5,23,78.00000
84358,2019,5,24,77.50000
84358,2019,5,25,82.50000
84358,2019,5,26,84.00000
84358,2019,5,27,87.00000
84358,2019,5,28,85.00000
84358,2019,5,29,85.00000
84358,2019,5,30,83.50000
84358,2019,5,31,83.50000
84358,2019,6,1,85.50000
84358,2019,6,2,86.50000
84358,2019,6,3,84.00000
84358,2019,6,4,85.00000
84358,2019,6,5,84.50000
84358,2019,6,6,85.50000
84358,2019,6,7,84.00000
84358,2019,6,8,83.00000
84358,2019,6,9,82.50000
84358,2019,6,10,81.00000
84358,2019,6,11,81.00000
84358,2019,6,12,78.50000
84358,2019,6,13,80.00000
84358,2019,6,14,77.00000
84358,2019,6,15,77.50000
84358,2019,6,16,79.50000
84358,2019,6,17,79.50000
84358,2019,6,18,82.00000
84358,2019,6,19,81.50000
84358,2019,6,20,81.00000
84358,2019,6,21,84.50000
84358,2019,6,22,85.00000
84358,2019,6,23,84.50000
84358,2019,6,24,85.50000
84358,2019,6,25,85.50000
84358,2019,6,26,84.00000
84358,2019,6,27,80.50000
84358,2019,6,28,81.50000
84358,2019,6,29,81.00000
84358,2019,6,30,81.50000
84358,2019,7,1,85.50000
84358,2019,7,2,88.00000
84358,2019,7,3,87.00000
84358,2019,7,4,85.00000
84358,2019,7,5,80.00000
84358,2019,7,6,80.00000
84358,2019,7,7,82.50000
84358,2019,7,8,84.50000
84358,2019,7,9,84.00000
84358,2019,7,10,83.00000
84358,2019,7,11,84.00000
84358,2019,7,12,82.50000
84358,2019,7,13,81.50000
84358,2019,7,14,85.00000
84358,2019,7,15,86.00000
84358,2019,7,16,86.50000
84358,2019,7,17,84.50000
84358,2019,7,18,82.50000
84358,2019,7,19,82.50000
84358,2019,7,20,82.00000
84358,2019,7,21,82.50000
84358,2019,7,22,82.00000
84358,2019,7,23,82.00000
84358,2019,7,24,78.00000
84358,2019,7,25,79.00000
84358,2019,7,26,79.50000
84358,2019,7,27,77.50000
84358,2019,7,28,80.00000
84358,2019,7,29,80.00000
84358,2019,7,30,79.50000
84358,2019,7,31,82.00000
84358,2019,8,1,80.00000
84358,2019,8,2,79.00000
84358,2019,8,3,82.00000
84358,2019,8,4,84.50000
84358,2019,8,5,83.00000
84358,2019,8,6,83.00000
84358,2019,8,7,84.00000
84358,2019,8,8,86.00000
84358,2019,8,9,86.00000
84358,2019,8,10,87.00000
84358,2019,8,11,86.00000
84358,2019,8,12,84.00000
84358,2019,8,13,86.00000
84358,2019,8,14,86.50000
84358,2019,8,15,84.50000
84358,2019,8,16,82.50000
84358,2019,8,17,77.00000
84358,2019,8,18,83.00000
84358,2019,8,19,81.00000
84358,2019,8,20,82.50000
84358,2019,8,21,83.00000
84358,2019,8,22,84.00000
84358,2019,8,23,83.00000
84358,2019,8,24,83.50000
84358,2019,8,25,82.50000
84358,2019,8,26,81.00000
84358,2019,8,27,83.00000
84358,2019,8,28,83.50000
84358,2019,8,29,83.00000
84358,2019,8,30,80.00000
84358,2019,8,31,82.50000
84358,2019,9,1,84.00000
84358,2019,9,2,83.00000
84358,2019,9,3,83.50000
84358,2019,9,4,78.50000
84358,2019,9,5,86.50000
84358,2019,9,6,84.00000
84358,2019,9,7,83.50000
84358,2019,9,8,84.00000
84358,2019,9,9,85.50000
84358,2019,9,10,82.50000
84358,2019,9,11,81.50000
84358,2019,9,12,81.00000
84358,2019,9,13,80.00000
84358,2019,9,14,81.50000
84358,2019,9,15,82.50000
84358,2019,9,16,82.50000
84358,2019,9,17,83.00000
84358,2019,9,18,79.00000
84358,2019,9,19,78.00000
84358,2019,9,20,79.00000
84358,2019,9,21,76.50000
84358,2019,9,22,76.50000
84358,2019,9,23,75.50000
84358,2019,9,24,79.00000
84358,2019,9,25,83.50000
84358,2019,9,26,85.00000
84358,2019,9,27,82.50000
84358,2019,9,28,78.50000
84358,2019,9,29,78.00000
84358,2019,9,30,80.50000
84358,2019,10,1,81.00000
84358,2019,10,2,79.00000
84358,2019,10,3,78.00000
84358,2019,10,4,77.00000
84358,2019,10,5,78.00000
84358,2019,10,6,80.00000
84358,2019,10,7,75.00000
84358,2019,10,8,78.00000
84358,2019,10,9,75.00000
84358,2019,10,10,74.50000
84358,2019,10,11,70.50000
84358,2019,10,12,73.50000
84358,2019,10,13,75.00000
84358,2019,10,14,77.50000
84358,2019,10,15,79.00000
84358,2019,10,16,79.00000
84358,2019,10,17,66.00000
84358,2019,10,18,65.50000
84358,2019,10,19,76.00000
84358,2019,10,20,70.00000
84358,2019,10,21,71.50000
84358,2019,10,22,78.50000
84358,2019,10,23,63.50000
84358,2019,10,24,70.50000
84358,2019,10,25,76.50000
84358,2019,10,26,78.50000
84358,2019,10,27,79.50000
84358,2019,10,28,78.00000
84358,2019,10,29,78.00000
84358,2019,10,30,80.00000
84358,2019,10,31,77.50000
84358,2019,11,1,57.00000
84358,2019,11,2,60.50000
84358,2019,11,3,61.00000
84358,2019,11,4,67.50000
84358,2019,11,5,72.00000
84358,2019,11,6,73.00000
84358,2019,11,7,77.50000
84358,2019,11,8,64.00000
84358,2019,11,9,56.00000
84358,2019,11,10,56.00000
84358,2019,11,11,63.00000
84358,2019,11,12,66.00000
84358,2019,11,13,48.00000
84358,2019,11,14,53.50000
84358,2019,11,15,57.00000
84358,2019,11,16,52.00000
84358,2019,11,17,55.00000
84358,2019,11,18,59.50000
84358,2019,11,19,56.50000
84358,2019,11,20,57.50000
84358,2019,11,21,57.50000
84358,2019,11,22,64.00000
84358,2019,11,23,64.50000
84358,2019,11,24,55.50000
84358,2019,11,25,53.50000
84358,2019,11,26,55.50000
84358,2019,11,27,63.50000
84358,2019,11,28,63.00000
84358,2019,11,29,59.00000
84358,2019,11,30,62.00000
84358,2019,12,1,73.00000
84358,2019,12,2,54.00000
84358,2019,12,3,44.50000
84358,2019,12,4,50.50000
84358,2019,12,5,54.00000
84358,2019,12,6,57.00000
84358,2019,12,7,57.50000
84358,2019,12,8,59.50000
84358,2019,12,9,69.00000
84358,2019,12,10,71.00000
84358,2019,12,11,63.00000
84358,2019,12,12,60.50000
84358,2019,12,13,64.00000
84358,2019,12,14,56.00000
84358,2019,12,15,54.50000
84358,2019,12,16,63.50000
84358,2019,12,17,71.00000
84358,2019,12,18,49.00000
84358,2019,12,19,46.50000
84358,2019,12,20,53.50000
84358,2019,12,21,60.00000
84358,2019,12,22,64.00000
84358,2019,12,23,63.50000
84358,2019,12,24,62.00000
84358,2019,12,25,61.50000
84358,2019,12,26,62.50000
84358,2019,12,27,69.50000
84358,2019,12,28,70.50000
84358,2019,12,29,71.00000
84358,2019,12,30,67.50000
84358,2019,12,31,55.00000
